q_no,question,option_A,option_B,option_C,option_D,correct_option,explanation
264,Quick sort worst time is?,O(n),O(n^2),O(n log n),O(log n),B,Worst pivot leads to skewed partitions.
265,Worst-case height of BST with n nodes is,n-1,n/2,sqrt(n),log n,A,Skewed BST becomes a chain.
266,Deleting an element from the middle of an array of size n takes,O(n log n),O(1),O(log n),O(n),D,Shifting elements is required.
267,Balance factor in AVL tree is,Nodes(left)-Nodes(right),Degree difference,Key difference,Height(left) - Height(right),D,Balance factor uses heights.
268,"If T(n)=2T(n/2)+n, then T(n) is",O(log n),O(n^2),O(n log n),O(n),C,Merge sort recurrence.
269,"If T(n)=T(n/2)+1, then T(n) is",O(n log n),O(log n),O(n^2),O(n),B,Halving recurrence leads to logarithmic complexity.
270,Linear search time complexity is,O(n),O(n log n),O(log n),O(1),A,Checks elements sequentially.
271,LPS array in KMP stands for?,Least Prefix Sum,Local Pattern Score,Longest Proper Prefix which is also Suffix,Longest Path Search,C,KMP preprocessing array.
272,"If T(n)=2T(n/2)+n, then T(n) is",O(log n),O(n),O(n log n),O(n^2),C,Merge sort recurrence.
273,"In a BST, inorder traversal gives",Random order,Reverse postorder,Level order,Sorted order,D,Inorder visits keys in increasing order.
274,Heap sort time complexity is,O(log n),O(n),O(n log n),O(n^2),C,Heap operations are log n.
275,Which sorting algorithm is stable and guaranteed O(n log n)?,Merge sort,Quick sort,Heap sort,Selection sort,A,Merge sort is stable with O(n log n) worst-case.
276,Searching in an unsorted linked list takes,O(log n),O(n),O(n log n),O(1),B,Sequential traversal.
277,Time complexity of binary search is?,O(n log n),O(log n),O(n),O(1),B,Binary search halves the search space each step.
278,Primary clustering is associated with,Merge sort,Chaining,Linear probing,AVL,C,Linear probing creates clusters.
279,Backtracking is used in,Binary search,Prim's algorithm,Counting sort,N-Queens problem,D,Backtracking explores and backtracks decisions.
280,Postorder traversal is?,Left-Root-Right,Left-Right-Root,Root-Left-Right,Root-Right-Left,B,Definition of postorder.
281,Primary clustering is associated with,Chaining,AVL,Merge sort,Linear probing,D,Linear probing creates clusters.
282,Dynamic Programming requires,Overlapping subproblems and optimal substructure,Only stacks,Only sorting,Only recursion,A,DP stores subproblem results.
283,Time complexity of binary search is,O(1),O(n),O(n log n),O(log n),D,Binary search halves the search space each step.
284,Bubble sort is,Stable and in-place,Stable but not in-place,Not a comparison sort,Unstable and not in-place,A,Adjacent swaps keep stability.
285,Selection sort worst-case is,O(n),O(n log n),O(n^2),O(log n),C,Two nested loops.
286,Queue is based on,LIFO,Random,LILO,FIFO,D,"First in, first out."
287,"In a 4-way set associative cache (analogy), each set can hold?",8 blocks,1 block,V blocks,4 blocks,D,k-way means k lines per set.
288,DFS uses?,Queue,Deque only,Heap,Stack/Recursion,D,DFS uses stack implicitly via recursion.
289,"In an array-based stack, underflow occurs when?",Top is max,Stack is full,Stack is empty,Queue is empty,C,Underflow means pop on empty.
290,Deleting an element from the middle of an array of size n takes?,O(n),O(1),O(log n),O(n log n),A,Shifting elements is required.
291,Linear search time complexity is,O(1),O(n),O(n log n),O(log n),B,Checks elements sequentially.
292,Primary clustering is associated with?,Chaining,Linear probing,Merge sort,AVL,B,Linear probing creates clusters.
293,BFS time using adjacency list is?,O(E^2),O(log V),O(V^2),O(V+E),D,Visits vertices and edges once.
294,"In a BST, inorder traversal gives",Sorted order,Random order,Reverse postorder,Level order,A,Inorder visits keys in increasing order.
295,Merge sort follows,Divide and conquer,Greedy,Brute force only,Backtracking,A,Splits and merges.
296,Quick sort worst time is,O(n^2),O(n log n),O(log n),O(n),A,Worst pivot leads to skewed partitions.
297,Which sorting algorithm is stable and guaranteed O(n log n)?,Quick sort,Merge sort,Selection sort,Heap sort,B,Merge sort is stable with O(n log n) worst-case.
298,Best-case time of insertion sort on nearly sorted array is?,O(1),O(n),O(log n),O(n^2),B,Insertion sort becomes linear if few shifts.
299,KMP algorithm is used for,Pattern matching in strings,Sorting strings,Graph traversal,Hash table resizing,A,KMP avoids rechecking characters.
300,Postorder traversal is,Root-Right-Left,Left-Root-Right,Left-Right-Root,Root-Left-Right,C,Definition of postorder.
301,Delete-min in min-heap takes,O(log n),O(n^2),O(1),O(n),A,Percolate down.
302,Big-Theta (Θ) represents?,No bound,Lower bound only,Tight bound,Upper bound only,C,Θ gives an asymptotically tight bound.
303,"If T(n)=2T(n/2)+n, then T(n) is",O(log n),O(n log n),O(n),O(n^2),B,Merge sort recurrence.
304,Merge sort follows,Backtracking,Brute force only,Greedy,Divide and conquer,D,Splits and merges.
305,Big-Omega (Ω) represents,Upper bound,Tight bound,No bound,Lower bound,D,Ω represents lower bound.
306,Primary clustering is associated with?,Linear probing,Chaining,AVL,Merge sort,A,Linear probing creates clusters.
307,Stack is based on?,Priority,LIFO,FIFO,Random,B,"Last in, first out."
308,Dynamic Programming requires?,Only recursion,Only sorting,Overlapping subproblems and optimal substructure,Only stacks,C,DP stores subproblem results.
309,Linear probing is,Searching,Sorting,Open addressing,Chaining,C,Probe next slots sequentially.
310,KMP algorithm is used for?,Sorting strings,Pattern matching in strings,Graph traversal,Hash table resizing,B,KMP avoids rechecking characters.
311,KMP algorithm is used for,Sorting strings,Hash table resizing,Graph traversal,Pattern matching in strings,D,KMP avoids rechecking characters.
312,BFS time using adjacency list is?,O(E^2),O(V+E),O(V^2),O(log V),B,Visits vertices and edges once.
313,Binary search works on?,Stack only,Sorted array,Unsorted array,Graph only,B,Requires order.
314,Maximum children per node in binary tree is,1,2,Any,3,B,Binary tree has at most two children.
315,Maximum children per node in binary tree is,3,Any,2,1,C,Binary tree has at most two children.
316,Balance factor in AVL tree is,Height(left) - Height(right),Key difference,Degree difference,Nodes(left)-Nodes(right),A,Balance factor uses heights.
317,Balance factor in AVL tree is,Degree difference,Height(left) - Height(right),Nodes(left)-Nodes(right),Key difference,B,Balance factor uses heights.
318,Dijkstra algorithm requires,Only DAG,Negative edges allowed,Non-negative edge weights,Only unweighted graphs,C,Standard Dijkstra fails with negative weights.
319,Adjacency list space is,O(V^2),O(V+E),O(E^2),O(log V),B,List stores edges.
320,Adjacency matrix space is,O(V+E),O(V),O(V^2),O(E),C,Matrix stores all pairs.
